run,sheet,sheet_name,section,row_no,field,value,status
3126,Clarifier,Data Sheet - Clarifier,Header,,Date,2026-04-10,Complete
3126,Clarifier,Data Sheet - Clarifier,Header,,Clarification Sequential No.,,Complete
3126,Clarifier,Data Sheet - Clarifier,Header,,Retentate Flow Set Point (gpm),30,Complete
3126,Clarifier,Data Sheet - Clarifier,Header,,Zero Refract,,Complete
3126,Clarifier,Data Sheet - Clarifier,Header,,Start-up Time,12:30,Complete
3126,Clarifier,Data Sheet - Clarifier,Header,,Shut-down Time,01:30,Complete
3126,Clarifier,Data Sheet - Clarifier,Header,,Operator Initials,OP,Complete
3126,Clarifier,Data Sheet - Clarifier,Filtration,1,Time,1:00,Complete
3126,Clarifier,Data Sheet - Clarifier,Filtration,1,Initials,OP,Complete
3126,Clarifier,Data Sheet - Clarifier,Filtration,1,Feed Tank Level (%),20,Complete
3126,Clarifier,Data Sheet - Clarifier,Filtration,1,Feed Pressure (psi),10,Complete
3126,Clarifier,Data Sheet - Clarifier,Filtration,1,Perm C (gpm),5,Complete
3126,Clarifier,Data Sheet - Clarifier,Filtration,1,Perm D (gpm),5,Complete
3126,Clarifier,Data Sheet - Clarifier,Filtration,1,Feed RI (%),5,Complete
3126,Clarifier,Data Sheet - Clarifier,Filtration,1,Retentate RI (%),4,Complete
3126,Clarifier,Data Sheet - Clarifier,Filtration,1,Permeate RI (%),,Complete
3126,Clarifier,Data Sheet - Clarifier,Filtration,2,Time,,Complete
3126,Clarifier,Data Sheet - Clarifier,Filtration,2,Initials,OP,Complete
3126,Clarifier,Data Sheet - Clarifier,Filtration,2,Feed Tank Level (%),,Complete
3126,Clarifier,Data Sheet - Clarifier,Filtration,2,Feed Pressure (psi),,Complete
3126,Clarifier,Data Sheet - Clarifier,Filtration,2,Perm C (gpm),,Complete
3126,Clarifier,Data Sheet - Clarifier,Filtration,2,Perm D (gpm),,Complete
3126,Clarifier,Data Sheet - Clarifier,Filtration,2,Feed RI (%),,Complete
3126,Clarifier,Data Sheet - Clarifier,Filtration,2,Retentate RI (%),,Complete
3126,Clarifier,Data Sheet - Clarifier,Filtration,2,Permeate RI (%),,Complete
3126,Clarifier,Data Sheet - Clarifier,Filtration,3,Time,,Complete
3126,Clarifier,Data Sheet - Clarifier,Filtration,3,Initials,OP,Complete
3126,Clarifier,Data Sheet - Clarifier,Filtration,3,Feed Tank Level (%),,Complete
3126,Clarifier,Data Sheet - Clarifier,Filtration,3,Feed Pressure (psi),,Complete
3126,Clarifier,Data Sheet - Clarifier,Filtration,3,Perm C (gpm),,Complete
3126,Clarifier,Data Sheet - Clarifier,Filtration,3,Perm D (gpm),,Complete
3126,Clarifier,Data Sheet - Clarifier,Filtration,3,Feed RI (%),,Complete
3126,Clarifier,Data Sheet - Clarifier,Filtration,3,Retentate RI (%),,Complete
3126,Clarifier,Data Sheet - Clarifier,Filtration,3,Permeate RI (%),,Complete
3126,Clarifier,Data Sheet - Clarifier,Filtration,4,Time,,Complete
3126,Clarifier,Data Sheet - Clarifier,Filtration,4,Initials,OP,Complete
3126,Clarifier,Data Sheet - Clarifier,Filtration,4,Feed Tank Level (%),,Complete
3126,Clarifier,Data Sheet - Clarifier,Filtration,4,Feed Pressure (psi),,Complete
3126,Clarifier,Data Sheet - Clarifier,Filtration,4,Perm C (gpm),,Complete
3126,Clarifier,Data Sheet - Clarifier,Filtration,4,Perm D (gpm),,Complete
3126,Clarifier,Data Sheet - Clarifier,Filtration,4,Feed RI (%),,Complete
3126,Clarifier,Data Sheet - Clarifier,Filtration,4,Retentate RI (%),,Complete
3126,Clarifier,Data Sheet - Clarifier,Filtration,4,Permeate RI (%),,Complete
3126,Clarifier,Data Sheet - Clarifier,Filtration,5,Time,,Complete
3126,Clarifier,Data Sheet - Clarifier,Filtration,5,Initials,OP,Complete
3126,Clarifier,Data Sheet - Clarifier,Filtration,5,Feed Tank Level (%),,Complete
3126,Clarifier,Data Sheet - Clarifier,Filtration,5,Feed Pressure (psi),,Complete
3126,Clarifier,Data Sheet - Clarifier,Filtration,5,Perm C (gpm),,Complete
3126,Clarifier,Data Sheet - Clarifier,Filtration,5,Perm D (gpm),,Complete
3126,Clarifier,Data Sheet - Clarifier,Filtration,5,Feed RI (%),,Complete
3126,Clarifier,Data Sheet - Clarifier,Filtration,5,Retentate RI (%),,Complete
3126,Clarifier,Data Sheet - Clarifier,Filtration,5,Permeate RI (%),,Complete
3126,Clarifier,Data Sheet - Clarifier,Filtration,6,Time,,Complete
